                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87656,                 1.0027,                 1.2234,                0.85781,                0.67666,                0.78046,                0.53064,                 1.1418,                 1.2845,                 1.5199,               0.006634,               0.006634,               0.006634
                     36,                0.89868,                 1.0354,                 1.2308,                0.85726,                 0.4898,                0.63109,                0.39827,                 1.3861,                 1.8118,                 1.7298,               0.006535,               0.006535,               0.006535
                     37,                0.82914,                0.98169,                 1.2107,                0.75984,                0.68284,                0.72355,                0.50851,                 1.0994,                 1.3853,                  1.457,               0.006436,               0.006436,               0.006436
                     38,                0.88271,                 1.0329,                 1.2311,                0.74148,                0.72314,                0.76123,                0.54396,                  1.027,                 1.2139,                 1.4268,               0.006337,               0.006337,               0.006337
                     39,                0.91056,                 1.0632,                 1.2845,                0.74092,                0.71372,                0.74049,                0.51686,                  1.153,                 1.2376,                 1.5435,               0.006238,               0.006238,               0.006238
                     40,                0.84387,                0.98464,                 1.2245,                0.89144,                0.64173,                0.75688,                0.53643,                 1.1577,                 1.2501,                 1.5719,               0.006139,               0.006139,               0.006139
                     41,                0.86508,                  1.012,                  1.242,                0.87245,                0.68559,                 0.7837,                0.54284,                 1.0857,                 1.2224,                 1.4799,                0.00604,                0.00604,                0.00604
                     42,                0.78653,                0.92071,                 1.1987,                0.84946,                0.69673,                 0.7859,                0.55614,                 1.1106,                 1.2214,                 1.4569,               0.005941,               0.005941,               0.005941
                     43,                0.79774,                0.94016,                 1.1872,                0.75893,                0.69826,                0.77638,                0.56873,                 1.0699,                 1.1531,                 1.4169,               0.005842,               0.005842,               0.005842
                     44,                0.85259,                0.95882,                 1.2128,                0.88608,                0.69264,                0.79142,                0.57277,                 1.0471,                 1.1481,                 1.4379,               0.005743,               0.005743,               0.005743
                     45,                0.80717,                0.91161,                 1.2008,                0.79948,                0.64225,                 0.7396,                0.53001,                 1.2134,                 1.4832,                 1.5163,               0.005644,               0.005644,               0.005644
                     46,                0.81104,                0.89351,                 1.1872,                0.72016,                0.64476,                0.69197,                0.47293,                 1.2931,                 1.6038,                 1.5989,               0.005545,               0.005545,               0.005545
                     47,                0.81526,                0.86517,                 1.1943,                0.80176,                0.68608,                0.74535,                0.52159,                 1.1411,                 1.3028,                 1.4946,               0.005446,               0.005446,               0.005446
                     48,                0.78712,                 0.8746,                 1.1668,                0.79728,                0.66018,                0.76576,                0.55323,                 1.0293,                 1.1533,                 1.4348,               0.005347,               0.005347,               0.005347
                     49,                0.79187,                 0.8567,                 1.1806,                0.86521,                0.70978,                 0.8161,                 0.5872,                  1.012,                 1.0751,                 1.4197,               0.005248,               0.005248,               0.005248
                     50,                0.78609,                0.86544,                 1.1638,                0.81743,                0.72039,                0.79969,                0.58476,                0.97995,                 1.0588,                 1.3976,               0.005149,               0.005149,               0.005149
                     51,                0.80911,                0.86954,                 1.1857,                0.76981,                0.66571,                0.74247,                0.52297,                 1.0419,                  1.247,                 1.4522,                0.00505,                0.00505,                0.00505
                     52,                0.78981,                0.85174,                 1.1675,                0.79664,                0.66726,                 0.7599,                0.55104,                 1.0722,                 1.2083,                 1.4891,               0.004951,               0.004951,               0.004951
                     53,                0.75178,                0.82424,                 1.1401,                0.83871,                0.65739,                0.77482,                 0.5502,                 1.0254,                 1.1342,                 1.4329,               0.004852,               0.004852,               0.004852
                     54,                0.75341,                0.79681,                 1.1482,                0.85729,                0.64924,                0.77605,                0.55183,                 1.0581,                 1.1718,                 1.4366,               0.004753,               0.004753,               0.004753
                     55,                0.79743,                0.86429,                 1.1805,                 0.8281,                0.70627,                0.77453,                0.53649,                 1.0928,                 1.2689,                 1.4297,               0.004654,               0.004654,               0.004654
                     56,                0.77076,                0.81061,                 1.1628,                0.83234,                0.67297,                0.76421,                0.52917,                 1.0969,                 1.3848,                 1.4788,               0.004555,               0.004555,               0.004555
                     57,                0.72045,                0.79202,                 1.1185,                0.79676,                0.68246,                0.77799,                0.55933,                  1.014,                 1.2299,                 1.3878,               0.004456,               0.004456,               0.004456
                     58,                0.77874,                0.81393,                 1.1375,                0.89242,                0.68834,                0.78349,                 0.5663,                 1.0375,                 1.2556,                 1.4036,               0.004357,               0.004357,               0.004357
                     59,                0.78187,                0.82833,                  1.152,                0.85465,                0.68231,                0.78041,                0.54413,                 1.1565,                 1.2467,                 1.4819,               0.004258,               0.004258,               0.004258
