                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                0.94772,                 1.3232,                 1.2605,                0.72405,                0.54889,                0.62356,                0.41874,                 1.2082,                 1.7405,                  1.619,               0.008119,               0.008119,               0.008119
                     21,                 0.9391,                 1.2809,                 1.2369,                0.72132,                0.55855,                0.62368,                0.41412,                 1.2294,                 1.7345,                 1.5851,                0.00802,                0.00802,                0.00802
                     22,                  0.965,                 1.2153,                 1.2339,                0.79315,                0.60851,                0.69811,                0.48365,                 1.2037,                 1.5653,                 1.5436,               0.007921,               0.007921,               0.007921
                     23,                0.92784,                 1.2657,                 1.2633,                0.78878,                0.50193,                 0.5852,                0.40649,                  1.311,                  1.892,                 1.6932,               0.007822,               0.007822,               0.007822
                     24,                 0.9633,                 1.2853,                 1.2529,                 0.6234,                0.55807,                0.60486,                0.41776,                 1.3303,                 1.7874,                 1.7479,               0.007723,               0.007723,               0.007723
                     25,                0.88944,                 1.2163,                 1.2096,                0.73703,                0.49696,                0.58327,                0.36734,                 1.3654,                 1.8292,                 1.8296,               0.007624,               0.007624,               0.007624
                     26,                0.91941,                 1.2606,                  1.258,                0.61611,                 0.4752,                0.47865,                0.29471,                 1.8038,                 2.2936,                 2.3376,               0.007525,               0.007525,               0.007525
                     27,                0.92953,                 1.2797,                 1.2547,                0.43073,                0.25853,                0.20018,                0.09089,                 2.5458,                 2.8719,                 3.2558,               0.007426,               0.007426,               0.007426
                     28,                0.91877,                 1.2009,                 1.2209,                0.43294,                0.23677,                0.19478,                0.10505,                 2.5543,                  2.771,                 3.1909,               0.007327,               0.007327,               0.007327
                     29,                0.87711,                 1.1719,                 1.2194,                0.47495,                0.36199,                0.32796,                0.20162,                 1.9146,                 2.5004,                 2.2232,               0.007228,               0.007228,               0.007228
                     30,                0.97703,                  1.209,                 1.2683,                 0.5334,                0.16256,                0.18893,                0.09917,                  2.537,                 3.0374,                  3.127,               0.007129,               0.007129,               0.007129
                     31,                0.91927,                 1.1953,                 1.2369,                0.74607,                0.48517,                0.60022,                0.40292,                 1.4229,                 1.6545,                 1.7284,                0.00703,                0.00703,                0.00703
                     32,                0.87699,                 1.1239,                 1.2094,                0.77213,                0.59303,                0.70742,                0.48954,                 1.1844,                  1.378,                 1.5199,               0.006931,               0.006931,               0.006931
                     33,                0.85126,                 1.1091,                 1.1858,                 0.7879,                0.51677,                 0.6557,                0.45585,                 1.1729,                 1.5972,                 1.5227,               0.006832,               0.006832,               0.006832
                     34,                0.90062,                 1.1533,                 1.2126,                0.77839,                0.64423,                0.74186,                0.51839,                 1.1377,                   1.37,                  1.423,               0.006733,               0.006733,               0.006733
                     35,                0.92962,                  1.131,                 1.2368,                0.79786,                0.61068,                0.72386,                  0.523,                 1.0624,                 1.4362,                 1.3878,               0.006634,               0.006634,               0.006634
                     36,                0.88364,                 1.0774,                 1.2038,                0.79742,                0.64915,                0.72082,                0.51929,                  1.116,                 1.5128,                 1.4278,               0.006535,               0.006535,               0.006535
                     37,                 0.8426,                 1.0565,                 1.1775,                0.80949,                0.59625,                0.71527,                 0.5125,                 1.1792,                 1.4072,                 1.4711,               0.006436,               0.006436,               0.006436
                     38,                0.84213,                 1.0932,                 1.1982,                0.75684,                0.63406,                0.72051,                0.52917,                 1.0854,                 1.3677,                 1.4082,               0.006337,               0.006337,               0.006337
                     39,                0.85644,                 1.0295,                 1.1791,                0.78252,                0.56666,                0.64931,                0.45034,                 1.2748,                  1.559,                 1.5974,               0.006238,               0.006238,               0.006238
                     40,                0.82363,                 1.0224,                 1.1818,                0.78005,                0.57655,                0.66997,                0.45047,                 1.3254,                 1.5603,                 1.5641,               0.006139,               0.006139,               0.006139
                     41,                 0.8857,                  1.047,                 1.2291,                0.81742,                0.65798,                0.76025,                 0.5179,                  1.228,                 1.3313,                 1.4611,                0.00604,                0.00604,                0.00604
                     42,                0.83482,                0.99795,                 1.1792,                0.76378,                0.77247,                0.78868,                0.54458,                 1.1654,                 1.1478,                  1.409,               0.005941,               0.005941,               0.005941
                     43,                 0.7788,                 1.0347,                 1.1577,                0.74747,                0.51565,                0.57554,                0.35278,                 1.5867,                 2.0339,                 1.8471,               0.005842,               0.005842,               0.005842
                     44,                 0.8395,                0.99056,                 1.1727,                0.80749,                0.60637,                0.70753,                0.51568,                 1.1131,                 1.3732,                 1.4224,               0.005743,               0.005743,               0.005743
                     45,                0.84915,                0.99915,                 1.1824,                0.72984,                0.64932,                0.70286,                0.51663,                 1.1115,                 1.4812,                 1.4195,               0.005644,               0.005644,               0.005644
                     46,                0.82823,                0.94895,                 1.1739,                0.72237,                 0.6648,                 0.6907,                0.48254,                 1.2086,                 1.5696,                 1.5376,               0.005545,               0.005545,               0.005545
                     47,                0.76209,                0.91201,                 1.1573,                0.77222,                0.67577,                0.71802,                0.53292,                 1.0457,                  1.233,                  1.424,               0.005446,               0.005446,               0.005446
                     48,                0.84985,                0.93064,                 1.1793,                 0.8406,                0.65624,                0.74955,                0.56494,                 1.0043,                  1.145,                 1.3738,               0.005347,               0.005347,               0.005347
                     49,                 0.7889,                0.90229,                 1.1563,                0.73951,                0.72836,                0.77621,                0.56643,                0.99223,                 1.1116,                  1.356,               0.005248,               0.005248,               0.005248
                     50,                0.79807,                0.91407,                 1.1622,                0.80967,                0.68518,                0.77044,                0.56294,                0.99403,                 1.1632,                 1.3525,               0.005149,               0.005149,               0.005149
                     51,                0.76143,                0.86515,                 1.1328,                0.84755,                0.68508,                0.77999,                0.56443,                 0.9956,                 1.1739,                 1.3214,                0.00505,                0.00505,                0.00505
                     52,                0.78681,                0.89615,                  1.137,                0.85653,                0.66421,                0.77731,                0.56453,                0.97426,                 1.2421,                 1.3174,               0.004951,               0.004951,               0.004951
                     53,                 0.8024,                0.89547,                 1.1507,                0.80851,                0.65897,                0.75881,                0.55522,                 1.0297,                 1.2317,                 1.3379,               0.004852,               0.004852,               0.004852
                     54,                0.80641,                0.90531,                 1.1672,                0.81018,                0.69793,                0.78713,                0.57376,                 1.0353,                  1.182,                 1.3483,               0.004753,               0.004753,               0.004753
                     55,                0.74508,                0.86398,                  1.133,                0.83657,                0.76272,                0.79649,                 0.5706,                0.97806,                 1.1003,                 1.3265,               0.004654,               0.004654,               0.004654
                     56,                0.72599,                0.82499,                 1.1227,                0.81302,                0.75197,                 0.7979,                0.59832,                0.96677,                 1.0409,                 1.3288,               0.004555,               0.004555,               0.004555
                     57,                0.72782,                0.85718,                 1.1371,                0.89541,                0.72942,                0.81327,                0.60543,                0.95157,                 1.0049,                 1.2974,               0.004456,               0.004456,               0.004456
                     58,                0.71328,                0.81786,                 1.0938,                0.86863,                0.67676,                0.78608,                0.58008,                0.99659,                 1.1041,                  1.328,               0.004357,               0.004357,               0.004357
                     59,                0.72366,                0.81292,                 1.0992,                 0.8503,                 0.7052,                0.77848,                0.57457,                 1.0313,                 1.1157,                  1.345,               0.004258,               0.004258,               0.004258
                     60,                0.74171,                0.83608,                 1.1128,                0.80415,                0.67322,                0.76878,                0.56544,                 1.0155,                 1.1304,                 1.3613,               0.004159,               0.004159,               0.004159
                     61,                0.73822,                0.79755,                 1.1242,                0.85602,                0.69262,                0.76131,                0.55263,                  1.051,                 1.1324,                  1.358,                0.00406,                0.00406,                0.00406
                     62,                0.69425,                0.76717,                  1.106,                0.80045,                0.70823,                0.78116,                0.59596,                0.92674,                 1.0172,                 1.3003,               0.003961,               0.003961,               0.003961
                     63,                0.70579,                0.80955,                 1.0931,                0.85277,                0.70085,                 0.8101,                 0.6108,                0.92113,                0.96355,                 1.3035,               0.003862,               0.003862,               0.003862
                     64,                0.72794,                0.78503,                 1.1168,                0.90534,                0.69491,                0.82658,                0.61254,                0.99252,                0.97369,                 1.3202,               0.003763,               0.003763,               0.003763
                     65,                0.68666,                0.81268,                 1.0984,                0.87752,                0.67872,                 0.8172,                0.59584,                0.99942,                 1.0855,                 1.3306,               0.003664,               0.003664,               0.003664
                     66,                0.69346,                0.78176,                   1.12,                0.81322,                0.68032,                0.80268,                0.58461,                0.99009,                 1.1936,                 1.3275,               0.003565,               0.003565,               0.003565
                     67,                0.67898,                0.76408,                 1.0848,                0.81599,                0.72168,                0.77663,                0.56703,                0.96789,                 1.2317,                 1.3103,               0.003466,               0.003466,               0.003466
                     68,                0.66683,                0.75473,                 1.0781,                0.76631,                0.75256,                0.78395,                0.56914,                 1.0089,                 1.1822,                 1.3144,               0.003367,               0.003367,               0.003367
                     69,                 0.6664,                0.72361,                 1.0726,                0.83649,                 0.6488,                0.76908,                0.58367,                 0.9747,                 1.1831,                 1.3054,               0.003268,               0.003268,               0.003268
                     70,                0.68617,                0.74301,                 1.0954,                0.89919,                0.67025,                0.77876,                0.58994,                0.97398,                 1.1303,                 1.3026,               0.003169,               0.003169,               0.003169
                     71,                0.72119,                0.77138,                 1.0964,                0.82379,                0.73724,                0.80468,                0.60401,                0.94427,                 1.0804,                 1.2986,                0.00307,                0.00307,                0.00307
                     72,                0.66467,                0.71197,                 1.0746,                0.84274,                0.74137,                0.79956,                0.59349,                0.94129,                 1.0638,                 1.2973,               0.002971,               0.002971,               0.002971
                     73,                0.68067,                0.75343,                 1.0805,                0.82133,                0.60455,                0.69005,                0.50298,                  1.149,                  1.515,                 1.4607,               0.002872,               0.002872,               0.002872
                     74,                0.63995,                0.68724,                  1.045,                0.71978,                 0.5607,                0.61536,                0.45131,                 1.1995,                 1.8019,                 1.5166,               0.002773,               0.002773,               0.002773
                     75,                0.69264,                0.71024,                 1.1002,                0.84252,                0.73016,                0.78663,                0.58025,                 1.0422,                 1.1065,                 1.3321,               0.002674,               0.002674,               0.002674
                     76,                0.65276,                0.69378,                 1.0708,                0.89944,                0.72308,                0.81056,                0.62145,                0.95341,                 1.0296,                 1.2827,               0.002575,               0.002575,               0.002575
                     77,                0.64085,                0.69288,                 1.0766,                0.81958,                0.75053,                0.80646,                0.61039,                0.92278,                 1.0459,                 1.2617,               0.002476,               0.002476,               0.002476
                     78,                0.64181,                0.68797,                 1.0729,                0.85111,                0.69242,                0.79335,                0.61376,                0.93153,                 1.1001,                 1.2615,               0.002377,               0.002377,               0.002377
                     79,                0.60907,                0.69213,                 1.0497,                0.88807,                0.70506,                0.80444,                0.61516,                0.89839,                 1.1153,                 1.2369,               0.002278,               0.002278,               0.002278
                     80,                 0.5989,                0.65318,                 1.0525,                0.89811,                0.71047,                 0.8072,                0.62243,                0.88526,                 1.0989,                  1.233,               0.002179,               0.002179,               0.002179
                     81,                 0.6041,                0.64693,                 1.0337,                0.85507,                0.73057,                0.81197,                0.62361,                0.87979,                 1.0569,                 1.2195,                0.00208,                0.00208,                0.00208
                     82,                 0.6322,                0.68091,                 1.0681,                0.89783,                0.69399,                0.79753,                0.60759,                0.94181,                 1.0759,                 1.2575,               0.001981,               0.001981,               0.001981
                     83,                0.61162,                0.63423,                  1.037,                0.85539,                0.68725,                0.81069,                0.62456,                0.92124,                 1.0394,                 1.2489,               0.001882,               0.001882,               0.001882
                     84,                0.59933,                0.66918,                 1.0671,                0.82796,                0.71944,                 0.7977,                0.61996,                 0.9298,                 1.0443,                 1.2512,               0.001783,               0.001783,               0.001783
                     85,                0.62882,                0.67807,                 1.0525,                0.88666,                0.71962,                0.81843,                0.62049,                0.94511,                0.99886,                 1.2656,               0.001684,               0.001684,               0.001684
                     86,                0.60028,                0.62805,                 1.0735,                0.83175,                0.69603,                0.76638,                0.59976,                0.94563,                 1.1495,                 1.2937,               0.001585,               0.001585,               0.001585
                     87,                0.62692,                0.65207,                 1.0621,                0.83761,                 0.7126,                 0.7855,                0.62023,                0.90751,                 1.1204,                 1.2791,               0.001486,               0.001486,               0.001486
                     88,                0.57251,                0.61218,                 1.0327,                0.79815,                0.74964,                0.81486,                0.64882,                0.88526,                  1.044,                 1.2599,               0.001387,               0.001387,               0.001387
                     89,                0.57858,                0.60766,                 1.0434,                0.85533,                0.72014,                0.80068,                0.62621,                0.90652,                  1.095,                 1.2502,               0.001288,               0.001288,               0.001288
                     90,                0.48747,                0.65713,                0.96961,                0.87375,                0.74548,                0.82033,                0.63768,                0.93649,                 1.0653,                 1.2689,               0.001189,               0.001189,               0.001189
                     91,                0.48912,                0.59941,                0.97166,                0.90223,                0.70983,                0.81404,                0.62608,                0.93005,                 1.0779,                  1.274,                0.00109,                0.00109,                0.00109
                     92,                0.47629,                0.57851,                0.96834,                0.86506,                0.73522,                0.81028,                0.63189,                0.91333,                 1.1184,                 1.2646,               0.000991,               0.000991,               0.000991
                     93,                0.52133,                0.63713,                0.99834,                0.88028,                0.71486,                 0.8051,                 0.6303,                0.88112,                 1.1248,                 1.2409,               0.000892,               0.000892,               0.000892
                     94,                0.45862,                0.56315,                0.98186,                0.88868,                0.69877,                0.78734,                0.62331,                0.88249,                 1.1158,                 1.2434,               0.000793,               0.000793,               0.000793
                     95,                0.46033,                0.53867,                 0.9584,                0.91046,                0.68332,                  0.802,                0.63387,                0.86821,                 1.0818,                  1.238,               0.000694,               0.000694,               0.000694
                     96,                0.44324,                0.52577,                0.96245,                0.87621,                0.71029,                0.80509,                0.63506,                0.86334,                 1.0753,                 1.2312,               0.000595,               0.000595,               0.000595
                     97,                0.47497,                0.55521,                 1.0006,                0.87448,                0.71997,                0.80178,                0.62945,                0.88419,                 1.0734,                  1.234,               0.000496,               0.000496,               0.000496
                     98,                0.46992,                0.56652,                0.99112,                0.86345,                0.70139,                0.79933,                0.62799,                0.88683,                 1.0908,                 1.2356,               0.000397,               0.000397,               0.000397
                     99,                 0.4667,                 0.5303,                0.98243,                0.86902,                 0.7071,                0.79549,                0.62457,                0.88238,                 1.1042,                 1.2373,               0.000298,               0.000298,               0.000298
