                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1848,                 3.1908,                 1.4923,                0.00673,                0.87817,                0.10736,                0.06498,                0.89416,                 2.9654,                 1.3266,                 0.0883,                 0.0013,                 0.0013
                      1,                0.87762,                 2.9428,                 1.2738,                0.00644,                0.85754,                0.17951,                0.12042,                0.93469,                 2.9211,                 1.4097,               0.075673,              0.0026733,              0.0026733
                      2,                0.93222,                 2.6259,                 1.3346,                      1,                0.04795,                0.29845,                0.22221,                 0.8805,                 2.6298,                  1.344,               0.063019,              0.0040188,              0.0040188
                      3,                0.93023,                 2.2109,                 1.3107,                0.59413,                0.26141,                0.38114,                0.23736,                 1.1546,                 2.7212,                 1.5521,               0.050337,              0.0053367,              0.0053367
                      4,                0.90115,                 1.8823,                 1.2406,                0.69257,                  0.275,                0.50025,                0.31997,                 1.1674,                 2.4438,                 1.5465,               0.037627,              0.0066268,              0.0066268
                      5,                0.92974,                 1.7228,                 1.2581,                0.65569,                0.42883,                0.54065,                0.34896,                 1.2143,                  2.266,                 1.5556,               0.024889,              0.0078891,              0.0078891
                      6,                0.92499,                 1.7115,                 1.2382,                0.72942,                0.52281,                0.60288,                0.40819,                  1.144,                 2.0633,                 1.4689,               0.012124,              0.0091238,              0.0091238
                      7,                0.96003,                 1.7208,                 1.3076,                0.45767,                0.33251,                0.27453,                0.13538,                 1.9586,                 2.6974,                 2.3256,               0.009307,               0.009307,               0.009307
                      8,                0.99335,                 1.6337,                 1.2919,                0.56577,                0.45574,                0.48096,                0.29162,                 1.3418,                 2.3384,                 1.7213,               0.009307,               0.009307,               0.009307
                      9,                 1.0303,                 1.6703,                 1.3357,                0.45426,                0.58689,                0.51555,                0.32757,                  1.306,                 2.5548,                 1.6386,               0.009208,               0.009208,               0.009208
                     10,                 1.0265,                 1.6222,                 1.2956,                0.68162,                0.36545,                0.52707,                0.36433,                 1.1485,                 2.6687,                 1.5464,               0.009109,               0.009109,               0.009109
                     11,                 1.0225,                  1.594,                 1.3059,                0.64362,                0.48077,                0.56381,                0.33483,                 1.3648,                 2.5458,                 1.7137,                0.00901,                0.00901,                0.00901
                     12,                 1.0438,                 1.5741,                 1.3142,                0.66798,                0.62755,                0.60264,                0.38626,                  1.259,                 1.9168,                 1.5635,               0.008911,               0.008911,               0.008911
                     13,                 1.0009,                 1.5042,                  1.285,                0.56014,                0.53368,                0.51396,                0.32408,                 1.4078,                 2.5112,                 1.7584,               0.008812,               0.008812,               0.008812
                     14,                 1.0139,                 1.4912,                 1.3207,                0.69441,                0.61057,                0.64471,                0.40253,                 1.2973,                  2.617,                 1.7527,               0.008713,               0.008713,               0.008713
                     15,                0.92842,                 1.3912,                 1.2081,                 0.5714,                0.54557,                0.55445,                0.32839,                 1.3865,                 2.1999,                 1.8804,               0.008614,               0.008614,               0.008614
                     16,                 1.0361,                 1.4409,                 1.2967,                0.65363,                0.44814,                0.50077,                0.32081,                 1.3926,                 2.0059,                 1.7608,               0.008515,               0.008515,               0.008515
                     17,                0.95085,                 1.4237,                 1.2776,                0.73421,                0.37609,                0.48837,                  0.304,                 1.7225,                 2.1023,                 2.1445,               0.008416,               0.008416,               0.008416
                     18,                 1.0207,                 1.4582,                 1.3353,                0.60762,                0.48703,                0.49193,                0.26585,                 1.7715,                 2.4177,                 2.3047,               0.008317,               0.008317,               0.008317
                     19,                0.98791,                 1.4114,                 1.2847,                 0.6558,                0.54318,                0.63269,                0.42891,                 1.1788,                 1.6033,                 1.5593,               0.008218,               0.008218,               0.008218
